Date,Open,High,Low,Close,Volume,Adj Close
"Jul 14, 2008","11,103.60","11,239.00","11,003.70","11,055.20","2,053,600","11,055.20"
"Jul 7, 2008","11,289.20","11,399.10","11,120.70","11,232.00","2,482,400","11,232.00"
"Jun 30, 2008","11,345.70","11,437.30","11,287.60","11,350.00","2,822,100","11,350.00"
"Jun 23, 2008","11,843.80","11,987.00","11,731.10","11,842.40","1,828,700","11,842.40"
"Jun 16, 2008","12,306.90","12,319.70","12,212.30","12,269.10","2,221,400","12,269.10"
"Jun 9, 2008","12,210.10","12,331.90","12,195.30","12,280.30","2,663,500","12,280.30"
"Jun 2, 2008","12,637.70","12,638.10","12,427.80","12,503.80","1,990,900","12,503.80"
"May 19, 2008","12,985.40","13,136.70","12,963.80","13,028.20","1,937,700","13,028.20"
"May 12, 2008","12,745.60","12,904.20","12,740.50","12,876.30","1,981,100","12,876.30"
"May 5, 2008","13,056.60","13,058.50","12,939.70","12,969.50","1,978,100","12,969.50"
"Apr 28, 2008","12,890.80","12,938.80","12,857.50","12,871.80","2,223,000","12,871.80"
"Apr 21, 2008","12,850.90","12,850.90","12,751.20","12,825.00","1,924,000","12,825.00"
"Apr 14, 2008","12,324.80","12,367.60","12,280.40","12,302.10","2,160,100","12,302.10"
"Apr 7, 2008","12,612.60","12,733.70","12,583.30","12,612.40","1,980,700","12,612.40"
"Mar 31, 2008","12,215.90","12,326.50","12,176.10","12,262.90","2,736,100","12,262.90"
"Mar 24, 2008","12,362.00","12,622.10","12,362.00","12,548.60","2,643,200","12,548.60"
"Mar 17, 2008","11,946.50","12,076.20","11,756.60","11,972.30","3,828,900","11,972.30"
"Mar 10, 2008","11,893.00","11,926.50","11,731.60","11,740.20","3,120,200","11,740.20"
"Mar 3, 2008","12,264.40","12,281.40","12,161.10","12,258.90","2,597,300","12,258.90"
"Feb 25, 2008","12,380.80","12,584.60","12,341.00","12,570.20","2,886,000","12,570.20"
"Feb 11, 2008","12,181.90","12,252.10","12,069.50","12,240.00","2,681,000","12,240.00"
"Feb 4, 2008","12,743.10","12,749.80","12,621.80","12,635.20","2,374,100","12,635.20"
"Jan 28, 2008","12,205.70","12,386.00","12,112.10","12,383.90","2,789,900","12,383.90"
"Jan 14, 2008","12,613.80","12,794.60","12,613.70","12,778.20","2,453,700","12,778.20"
"Jan 7, 2008","12,801.20","12,884.20","12,733.80","12,827.50","3,067,000","12,827.50"
"Dec 31, 2007","13,364.20","13,364.70","13,246.50","13,264.80","1,672,400","13,264.80"
"Dec 24, 2007","13,450.70","13,563.50","13,449.30","13,550.00","864,000","13,550.00"
"Dec 17, 2007","13,339.20","13,339.50","13,158.40","13,167.20","2,434,000","13,167.20"
"Dec 10, 2007","13,623.60","13,754.00","13,623.60","13,727.00","1,902,200","13,727.00"
"Dec 3, 2007","13,368.20","13,407.20","13,296.30","13,314.60","2,121,700","13,314.60"
"Nov 26, 2007","12,980.00","13,037.30","12,724.10","12,743.40","2,656,100","12,743.40"
"Nov 19, 2007","13,176.30","13,176.30","12,937.60","12,958.40","2,857,900","12,958.40"
"Nov 12, 2007","13,039.20","13,162.60","12,981.00","12,987.60","2,919,800","12,987.60"
"Nov 5, 2007","13,592.60","13,618.30","13,446.90","13,543.40","2,595,900","13,543.40"
"Oct 29, 2007","13,807.40","13,901.40","13,805.30","13,870.30","2,079,300","13,870.30"
"Oct 22, 2007","13,521.60","13,587.20","13,407.50","13,567.00","2,294,400","13,567.00"
"Oct 15, 2007","14,092.40","14,118.50","13,904.30","13,984.80","2,204,900","13,984.80"
"Oct 8, 2007","14,065.40","14,068.00","14,009.70","14,043.70","1,164,200","14,043.70"
