"","start.date","end.date","debt.volume","relative_changethree","relative_changetwo","relative_changeone"
"190","2007-08-19 00:00:00","2007-08-25 00:00:00",22,-0.666666666666668,-0.5,0
"191","2007-08-26 00:00:00","2007-09-01 00:00:00",21,-1.33333333333333,-1,-1
"192","2007-09-02 00:00:00","2007-09-08 00:00:00",21,-0.666666666666668,-0.5,0
"193","2007-09-09 00:00:00","2007-09-15 00:00:00",21,-0.333333333333332,0,0
"194","2007-09-16 00:00:00","2007-09-22 00:00:00",23,2,2,2
"195","2007-09-23 00:00:00","2007-09-29 00:00:00",25,3.33333333333333,3,2
"196","2007-09-30 00:00:00","2007-10-06 00:00:00",25,2,1,0
"197","2007-10-07 00:00:00","2007-10-13 00:00:00",23,-1.33333333333333,-2,-2
"198","2007-10-14 00:00:00","2007-10-20 00:00:00",25,0.666666666666668,1,2
"199","2007-10-21 00:00:00","2007-10-27 00:00:00",24,-0.333333333333332,0,-1
"200","2007-10-28 00:00:00","2007-11-03 00:00:00",25,1,0.5,1
"201","2007-11-04 00:00:00","2007-11-10 00:00:00",25,0.333333333333332,0.5,0
"202","2007-11-11 00:00:00","2007-11-17 00:00:00",27,2.33333333333333,2,2
"203","2007-11-18 00:00:00","2007-11-24 00:00:00",20,-5.66666666666667,-6,-7
"204","2007-11-25 00:00:00","2007-12-01 00:00:00",25,1,1.5,5
"205","2007-12-02 00:00:00","2007-12-08 00:00:00",27,3,4.5,2
"206","2007-12-09 00:00:00","2007-12-15 00:00:00",23,-1,-3,-4
"207","2007-12-16 00:00:00","2007-12-22 00:00:00",20,-5,-5,-3
"208","2007-12-23 00:00:00","2007-12-29 00:00:00",21,-2.33333333333333,-0.5,1
"209","2007-12-30 00:00:00","2008-01-05 00:00:00",24,2.66666666666667,3.5,3
"210","2008-01-06 00:00:00","2008-01-12 00:00:00",29,7.33333333333333,6.5,5
"211","2008-01-13 00:00:00","2008-01-19 00:00:00",27,2.33333333333333,0.5,-2
"212","2008-01-20 00:00:00","2008-01-26 00:00:00",28,1.33333333333333,0,1
"213","2008-01-27 00:00:00","2008-02-02 00:00:00",28,0,0.5,0
"214","2008-02-03 00:00:00","2008-02-09 00:00:00",27,-0.666666666666668,-1,-1
"215","2008-02-10 00:00:00","2008-02-16 00:00:00",26,-1.66666666666667,-1.5,-1
"216","2008-02-17 00:00:00","2008-02-23 00:00:00",26,-1,-0.5,0
"217","2008-02-24 00:00:00","2008-03-01 00:00:00",28,1.66666666666667,2,2
"218","2008-03-02 00:00:00","2008-03-08 00:00:00",27,0.333333333333332,0,-1
"219","2008-03-09 00:00:00","2008-03-15 00:00:00",26,-1,-1.5,-1
"220","2008-03-16 00:00:00","2008-03-22 00:00:00",25,-2,-1.5,-1
"221","2008-03-23 00:00:00","2008-03-29 00:00:00",27,1,1.5,2
"222","2008-03-30 00:00:00","2008-04-05 00:00:00",25,-1,-1,-2
"223","2008-04-06 00:00:00","2008-04-12 00:00:00",26,0.333333333333332,0,1
"224","2008-04-13 00:00:00","2008-04-19 00:00:00",27,1,1.5,1
"225","2008-04-20 00:00:00","2008-04-26 00:00:00",26,0,-0.5,-1
"226","2008-04-27 00:00:00","2008-05-03 00:00:00",25,-1.33333333333333,-1.5,-1
"227","2008-05-04 00:00:00","2008-05-10 00:00:00",26,0,0.5,1
"228","2008-05-11 00:00:00","2008-05-17 00:00:00",24,-1.66666666666667,-1.5,-2
"229","2008-05-18 00:00:00","2008-05-24 00:00:00",23,-2,-2,-1
